searc_city,city,country,lat,lng,temp,humidity,cloudiness,windspeed
djibo,Djibo,BF,14.1022,-1.6306,92.82,32,74,17.92
terenos,Terenos,BR,-20.4422,-54.8603,84.2,39,20,3.44
guben,Guben,DE,51.9499,14.7145,64.98,56,100,3.0
colac,Colac,AU,-38.3333,143.5833,43.47,96,100,6.51
port blair,Port Blair,IN,11.6667,92.75,85.14,74,62,4.38
novyy nekouz,Novyy Nekouz,RU,57.9029,38.07,64.53,78,100,9.17
ambilobe,Ambilobe,MG,-13.2,49.05,75.42,74,55,3.15
porto belo,Porto Belo,BR,-27.1578,-48.5531,69.12,88,75,6.91
maniitsoq,Maniitsoq,GL,65.4167,-52.9,36.9,83,99,7.11
nemuro,Nemuro,JP,43.3236,145.575,41.38,95,61,14.65
batemans bay,Batemans Bay,AU,-35.7167,150.1833,42.69,69,1,1.01
iqaluit,Iqaluit,CA,63.7506,-68.5145,21.09,79,90,13.8
aklavik,Aklavik,CA,68.2191,-135.0107,39.2,75,75,10.36
meulaboh,Meulaboh,ID,4.1363,96.1285,77.72,90,100,4.83
saint-louis,Saint-Louis,SN,16.3333,-15.0,107.6,13,0,2.3
port lincoln,Port Lincoln,AU,-34.7333,135.8667,56.16,66,100,7.47
soweto,Soweto,ZA,-26.2678,27.8585,62.31,47,0,5.19
torbay,Torbay,CA,47.6666,-52.7314,48.97,66,75,11.5
terrace,Terrace,CA,54.5163,-128.6035,46.4,93,90,19.57
